Producto,Modelo,Descripcion,Link,Categoria,Response
Tanque Dolphin AL,51430022,"• Descarga: 4.8 LPD
• Tipo de Descarga: manija lateral cromada
• Cerámica de alto brillo
•Válvula de Descarga Sencilla de 3""",https://urrea.mx/banos/ceramicos/tanque-dolphin-al-51430022,Tanque,"El Tanque Dolphin AL de Urrea es un tanque para inodoro moderno y eficiente. Su diseño compacto, con un depósito para WC de 4.8LPD, ofrece una instalación de Simplo. La manija lateral cromada es un toque de lujo, y su cerámica de alto brillo asegura una apariencia limpia y atractiva. El Tanque Dolphin AL también cuenta con una válvula de descarga sencilla de 3"" para una descarga suave y sin problemas. Esta combinación de estilo y eficiencia hacen del Tanque Dolphin AL una excelente opción para cualquier inodoro."
Lavabo QUADRO Centro,LV1019A021,"• Lavabo de sobreponer
• Cerámica de alto brillo
• Sin rebosadero
• Disponible en 1 taladro",https://urrea.mx/banos/ceramicos/lavabo-quadro-centro-lv1019a021,Lavabo,"El Lavabo QUADRO Centro de Urrea es el lavamanos perfecto para tu baño. Está hecho de cerámica de alto brillo para garantizar un acabado perfecto. No necesita rebosadero, lo que lo hace muy fácil de instalar. Está disponible en 1 taladro, lo que significa que su instalación de Simplo, sin complicaciones. Esta es la solución perfecta para tu baño, con un diseño moderno y minimalista que se integra a la perfección a cualquier estilo. El Lavabo QUADRO Centro de Urrea es la elección ideal para tener un baño moderno y funcional."
Paquete Andrómeda Castelar,58019041,"Incluye: Taza Andrómeda 4.8 AL, Tanque Andrómeda 4.8 AL, Lavabo Austria  4”, Pedestal Austria",https://urrea.mx/banos/ceramicos/paquete-andromeda-castelar-58019041,Kit WC lavabo,"El Paquete Andrómeda Castelar de Urrea es el kit perfecto para tu baño. Incluye todo lo que necesitas para una instalación de Simplo: una taza Andrómeda 4.8 AL, un tanque Andrómeda 4.8 AL, un lavabo Austria 4” y un pedestal Austria. Todo lo que necesitas para un baño moderno y elegante. El lavamanos Andrómeda es perfecto para una instalación de Simplo, con su diseño único y moderno. El tanque Andrómeda es resistente y duradero, y el lavabo Austria es perfecto para un baño moderno. El pedestal Austria es una excelente opción para el inodoro o el wc para baños. El Paquete Andrómeda Castelar de Urrea es la mejor opción para tu próximo proyecto de baño."
WC REAL AL,WC4031A021,"• Sanitario alargado
• Descarga: 4.8 LPD
• Tipo de Descarga: Manija lateral cromada
• Altura: 15 1/2”
• Asiento: caída suave incluido
• Trampa: expuesta esmaltada
• Cerámica de alto brillo
• MAP: 800gr
•Válvula de Descarga Sencilla de 3""",https://urrea.mx/banos/ceramicos/wc-real-al-wc4031a021,WC,"El WC REAL AL de Urrea es el inodoro perfecto para tus baños. Está hecho con cerámica de alto brillo y cuenta con una descarga de 4.8 LPD para una descarga rápida y eficiente. La manija lateral cromada es fácil de usar y ofrece una caída suave para el asiento. La trampa está expuesta y esmaltada para evitar fugas. Está diseñado para una instalación de Simplo y tiene una altura de 15 1/2” con un MAP de 800gr. Está equipado con una válvula de descarga sencilla de 3"" para una descarga rápida y segura. Es el WC perfecto para tu hogar."
Tanque Oculto Muro Falso Taza Suspendida,TQ3005A001,"• Tanque para sanitario suspendido
• Descarga: 4.8 / 3 LPD
• Tipo de Descarga: pulsador dual cromo Incluido
• Altura: ajustable (0 - 7.87”)
• Ancho de Tanque: 112mm, con soporte ajustable anpared (170 . 200 mm)
• Soporta hasta 400 kg de peso",https://urrea.mx/banos/ceramicos/tanque-oculto-muro-falso-taza-suspendida-tq3005a001,Tanque,"El Tanque Oculto Muro Falso Taza Suspendida de Urrea es una excelente opción para aquellos que buscan una solución de instalación de Simplo. Esta taza suspendida es un tanque para inodoro con una descarga de 4.8/3 LPD y un pulsador dual cromo incluido. Además, su altura es ajustable (0 - 7.87”) y su ancho de tanque es de 112 mm, con un soporte ajustable aparado (170 - 200 mm). Esta taza suspendida también es un depósito para WC y soporta hasta 400 kg de peso. Esta taza suspendida es la mejor opción para aquellos que buscan una solución de instalación de Simplo."
Paquete Cosmos,58458021,"Incluye; Taza Novara 4.8 RD, Tanque Novara 4.8 RD, Lavabo Cosmos",https://urrea.mx/banos/ceramicos/paquete-cosmos-58458021,Kit WC lavabo,"El Paquete Cosmos de Urrea es un kit para baño con todos los elementos necesarios para completar tu baño. Incluye una taza Novara 4.8 RD, un tanque Novara 4.8 RD y un lavabo Cosmos. Esta solución es perfecta para aquellos que buscan una instalación de Simplo para su baño. El lavamanos es de excelente calidad, con una superficie lisa y resistente al desgaste. El inodoro es moderno, con un diseño elegante y una capacidad de flujo de agua muy eficiente. El wc para baños es compacto, con un diseño ergonómico que le permite ahorrar espacio. El paquete para baño Cosmos de Urrea es la solución perfecta para aquellos que buscan un baño moderno y funcional."
Taza suspendida Tempos II,TZ1005A021,"• Sanitario alargado
• Descarga 4.8/3 LPD
• Asiento: Super Slim caída suave incluido
• Sistema de fácil limpieza e instalación
• Trampa: oculta esmaltada
• Sanitario suspendido con Descarga a muro
• Requiere tanque oculto
• Cerámica de alto brillo
• MAP: 500 gr",https://urrea.mx/banos/ceramicos/taza-suspendida-tempos-ii-tz1005a021,WC,"La Taza suspendida Tempos II de Urrea es un inodoro moderno y elegante que ofrece una solución práctica para los baños. Está hecha de cerámica de alto brillo y cuenta con un sistema de descarga a muro de 4.8/3 LPD. Su sistema de instalación es de Simplo, lo que lo hace fácil de instalar. El asiento incluido es Super Slim con caída suave y la trampa es oculta y esmaltada para una fácil limpieza. Además, el inodoro viene con un tanque oculto para una mayor discreción. Esta taza suspendida es la opción perfecta para aquellos que buscan un WC para baños modernos y con estilo."
Taza KINO,TZ2055A021,"• Sanitario alargado compacto
• Tipo de Descarga: manija lateral cromada
• Altura: 15 1/2”
• No incluye asiento
• Trampa: esmaltada expuesta
• Cerámica de alto brillo
• MAP: 600 gr
•Válvula de Descarga Sencilla de 3""",https://urrea.mx/banos/ceramicos/taza-kino-tz2055a021,WC,"La Taza KINO de Urrea es un inodoro ideal para baños modernos. Esta taza de WC compacta, de 15 1/2” de altura, posee una manija lateral cromada para la descarga, con una trampa esmaltada expuesta para un acabado limpio. Está hecha de cerámica de alto brillo y pesa 600gr. Esta taza viene con una válvula de descarga sencilla de 3”, y su instalación es muy sencilla gracias a la instalación de Simplo. No incluye asiento. Esta taza de WC es una excelente opción para un baño moderno y con estilo."
"Lavabo Venus 4""",52060041,"• Lavabo sobrecubierta
• Cerámica de alto brillo
• Con rebosadero
• Disponible para 4” y 1” taladro",https://urrea.mx/banos/ceramicos/lavabo-venus-4-52060041,Lavabo,"El Lavabo Venus 4 de Urrea es un lavabo para baño moderno y de alto brillo. Está fabricado en cerámica y cuenta con un rebosadero para una perfecta instalación. Está pensado para una instalación de Simplo de 4” y 1” taladro, para que lo adaptes a tus necesidades. Es ideal para un lavamanos moderno, con un diseño moderno y elegante. El Lavabo Venus 4 de Urrea es una excelente opción para completar el baño de tus sueños."
One Piece Viesca,TZ2053A021,"• Sanitario alargado
• Descarga 4.8/ 3.5 LPD
• Tipo de Descarga: botón dual superior
• Altura: 15 ½”
• Asiento: Super Slim caída suave incluido
• Trampa: oculta esmaltada
• Cerámica de alto brillo
• MAP: 800 gr
•Válvula de Descarga Dual de 2""",https://urrea.mx/banos/ceramicos/one-piece-viesca-tz2053a021,WC,"One Piece Viesca es un inodoro moderno y elegante para baños. Está diseñado para una instalación de Simplo, con una descarga dual superior de 4.8/ 3.5 LPD, una trampa oculta esmaltada y una cerámica de alto brillo con un peso de 800 gr. Tiene una altura de 15 ½” y un asiento Super Slim con caída suave incluido. Esta pieza es una marca Urrea que ofrece una experiencia de uso cómoda y segura. Está hecha para durar y resistir el uso diario, manteniendo un aspecto limpio y moderno."
Taza Royalty GS AL,50349022,"• Sanitario alargado
• Descarga: 4.8 LPD
• Tipo de Descarga: manija lateral cromada
• Altura: 14 3/4”
• Cerámica de alto brillo
• MAP: 500gr
•Válvula de Descarga Sencilla de 2""",https://urrea.mx/banos/ceramicos/taza-royalty-gs-al-50349022,WC,"La Taza Royalty GS AL de Urrea es un inodoro moderno y elegante ideal para baños. Su diseño alargado permite una descarga de 4.8 LPD, con una manija lateral cromada para una descarga sencilla de 2"". Esta taza de inodoro está fabricada con cerámica de alto brillo y MAP de 500gr para una durabilidad superior. Su instalación de Simplo facilita su instalación en cualquier baño. Esta taza de inodoro tiene una altura de 14 3/4” para una apariencia moderna y elegante. La Taza Royalty GS AL de Urrea es la opción perfecta para baños modernos."
Lavabo Venus,52062021,"• Lavabo sobrecubierta
• Cerámica de alto brillo
• Con rebosadero
• Disponible para 4” y 1” taladro",https://urrea.mx/banos/ceramicos/lavabo-venus-52062021,Lavabo,Lavabo Venus de Urrea es el lavamanos perfecto para su baño. Está hecho de cerámica de alto brillo para una apariencia limpia y moderna. Viene con un rebosadero para evitar salpicaduras al lavarse las manos. Está disponible para 4” y 1” taladro para una instalación de Simplo. El Lavabo Venus de Urrea le aporta un toque moderno y elegante a su baño. Es perfecto para un baño moderno con un diseño de lujo. Es fácil de limpiar y mantener. Está construido para durar y resistir el uso diario. El Lavabo Venus de Urrea es el lavamanos perfecto para su baño.
Paquete Cosmos III,58022041,"Incluye: Taza Novara 4.8 RD, Tanque Novara 4.8 RD, Lavabo Cosmos, Pedestal Cosmos, Juego de accesorios",https://urrea.mx/banos/ceramicos/paquete-cosmos-iii-58022041,Kit WC lavabo,"El Paquete Cosmos III de Urrea es el kit perfecto para baños modernos. Contiene una taza Novara 4.8 RD, un tanque Novara 4.8 RD, un lavabo Cosmos, un pedestal Cosmos y un juego de accesorios para la instalación de Simplo. El lavabo para baño es especialmente diseñado para proporcionar un toque moderno y elegante a cualquier baño. El inodoro Novara 4.8 RD es un wc para baños de alta calidad, fabricado con materiales resistentes y duraderos. El juego de accesorios incluye todos los elementos necesarios para una instalación de Simplo perfecta, desde tuberías hasta la válvula de descarga. El Paquete Cosmos III es el paquete ideal para cualquier baño moderno."
Tanque Royalty GS AL,51349022,"• Descarga: 4.8 LPD
• Tipo de Descarga: manija lateral cromada
• Cerámica de alto brillo
•Válvula de Descarga Sencilla de 2""",https://urrea.mx/banos/ceramicos/tanque-royalty-gs-al-51349022,Tanque,"El Tanque Royalty GS AL de Urrea es un tanque para inodoro de alto brillo, perfecto para cualquier instalación de Simplo. Con una descarga de 4.8 LPD, una manija lateral cromada y una válvula de descarga sencilla de 2"", es un depósito para WC de gran calidad. La cerámica de alto brillo lo hace resistente a los arañazos y a la decoloración, y su diseño moderno lo hace ideal como depósito para inodoro. Instalarlo es fácil y rápido, y su durabilidad lo hace ideal para cualquier hogar."
Lavabo KUUN,LV1003A021,"• Lavabo de sobreponer
• Cerámica de alto brillo
• Disponible en 1 taladro",https://urrea.mx/banos/ceramicos/lavabo-kuun-lv1003a021,Lavabo,"
El Lavabo KUUN de Urrea es un lavamanos para baño moderno y elegante. Está hecho de cerámica de alto brillo y es ideal para instalar en tu baño. Está diseñado para una instalación de Simplo, con un solo taladro, para que sea fácil de instalar. Es un lavabo de sobreponer, con un diseño moderno y minimalista, que se adapta a cualquier estilo de baño. Está disponible en una variedad de colores para que puedas elegir el que mejor se adapte a tu espacio. El Lavabo KUUN de Urrea es una opción ideal para tu baño."
Paquete Cosmos,58458041,"Incluye; Taza Novara 4.8 RD, Tanque Novara 4.8 RD, Lavabo Cosmos",https://urrea.mx/banos/ceramicos/paquete-cosmos-58458041,Kit WC lavabo,"El Paquete Cosmos de Urrea es un kit para baño completo y moderno. Incluye una taza Novara 4.8 RD, un tanque Novara 4.8 RD y un lavabo Cosmos. Esta paquete para baño es perfecto para una instalación de Simplo. El lavamanos Cosmos es moderno y elegante, con un diseño innovador que seguramente te encantará. El inodoro y el WC para baños son de alta calidad, con una alta resistencia a la corrosión. El Paquete Cosmos de Urrea es la mejor opción para remodelar tu baño con estilo."
Lavabo Centurion Jr.,52103041,"• Lavabo bajocubierta
• Cerámica de alto brillo
• Con rebosadero
• Sin perforaciones        ",https://urrea.mx/banos/ceramicos/lavabo-centurion-jr-52103041,Lavabo,"
El Lavabo Centurion Jr. de Urrea es una excelente opción para la instalación de Simplo en tu baño. Este lavamanos de cerámica de alto brillo, sin perforaciones, viene con un rebosadero para evitar desbordamientos. El Lavabo Centurion Jr. es una solución ideal para un baño moderno y práctico. Su diseño compacto y su tamaño bajocubierta lo hacen perfecto para espacios reducidos. Su instalación es sencilla y su mantenimiento es mínimo. El Lavabo Centurion Jr. es una excelente opción para modernizar tu baño y darle un toque de estilo."
Lavabo NEO X,LV1022A021,"• Lavabo de sobreponer
• Cerámica de alto brillo
• Con rebosadero
• Disponible en 1 taladro",https://urrea.mx/banos/ceramicos/lavabo-neo-x-lv1022a021,Lavabo,"
El Lavabo NEO X de Urrea es el lavamanos perfecto para tu baño. Está hecho de cerámica de alto brillo y cuenta con un rebosadero para evitar desbordamientos. Además, viene en un modelo de un solo taladro para una instalación de Simplo. Esta pieza moderna y elegante es ideal para cualquier estilo de baño, ya que aporta un toque de lujo y sofisticación a cualquier espacio. Su diseño minimalista se combina con la practicidad de su uso para ofrecerte la mejor experiencia. El Lavabo NEO X de Urrea es la mejor opción para tu baño."
